,化学,历史,地理,姓名,学号,性别,数学,物理,班级,生物,英语,语文,手机
0,94,78,90,常全质,100000,1,66,71,1,65,67,94,13433031038
1,92,90,78,邵倩琳,100001,1,93,67,2,89,80,70,13662492069
2,87,81,97,丁成政,100002,1,54,46,3,84,94,73,13828018725
3,55,75,95,刘中花,100003,0,47,48,4,96,92,79,14054589045
4,67,84,77,贾原生,100004,0,64,49,5,68,96,95,13816383145
5,85,95,98,王正变,100005,1,45,48,6,100,64,65,13559162801
6,61,93,73,江定中,100006,0,63,69,7,93,85,95,13593484813
7,84,75,97,杨社志,100007,0,67,95,8,88,61,68,13650147845
8,73,80,80,岳心乐,100008,0,53,90,9,81,98,87,13052931066
9,68,77,79,万展治,100009,0,95,51,10,69,62,88,13397927276
10,82,82,91,徐及间,100010,1,97,81,11,87,89,70,13772017554
11,76,93,98,吕地相,100011,1,61,70,12,76,95,74,14090564038
12,58,78,83,尹茜梅,100012,0,69,94,13,76,97,79,13443535198
13,80,76,75,铁气丽,100013,1,67,63,14,99,92,68,14046371377
14,81,79,82,乔合国,100014,1,72,68,15,72,80,95,14089908870
15,87,92,79,刘重多,100015,1,75,68,16,89,84,90,13148368785
16,89,83,75,段业文,100016,0,80,54,17,78,75,89,14064335908
17,78,88,88,谢地月,100017,1,80,55,18,95,78,66,13974406503
18,65,85,95,萧北部,100018,0,52,52,19,87,95,70,14081416685
19,57,91,81,谢上莹,100019,0,71,67,20,94,90,65,13252265785
20,56,87,74,王形政,100020,0,62,81,21,71,83,70,13167237549
21,59,93,71,王悦茜,100021,0,64,67,22,94,98,94,13234392427
22,68,85,97,岳茜定,100022,0,96,93,23,98,70,89,13752852906
23,71,86,89,章象原,100023,0,74,84,24,84,62,67,13591649900
24,73,90,94,熊了大,100024,0,54,61,25,74,67,73,13543608817
25,61,77,73,韩进中,100025,1,65,83,26,89,87,77,13788834913
26,74,95,85,韦多动,100026,0,93,90,27,66,81,90,13617979937
27,88,91,94,陶义理,100027,0,55,90,28,88,59,70,13220005195
28,75,85,82,许灵不,100028,1,94,73,29,67,67,66,14044247275
29,75,75,79,安美梦,100029,0,99,94,30,67,90,78,13614035459
30,55,93,75,申和梅,100030,0,95,76,31,65,78,75,13143448145
31,100,83,76,马作全,100031,1,61,98,32,97,79,72,13016071055
32,77,77,97,毛关蕊,100032,1,57,98,33,66,81,95,13031184335
33,90,91,75,韩子然,100033,1,85,88,34,76,80,90,13946408730
34,97,95,97,庞月样,100034,0,69,81,35,85,62,86,13995687918
35,88,75,93,赫进来,100035,0,73,45,36,96,93,78,13265988564
36,97,87,92,易然机,100036,0,82,93,37,87,85,73,13193177276
37,83,80,96,萧了月,100037,0,84,78,38,87,71,83,13419391278
38,67,78,83,谢来得,100038,1,72,64,39,77,76,78,14036245748
39,94,83,85,胡沫丽,100039,0,79,66,40,85,71,73,13051894823
40,76,94,81,乔用理,100040,1,45,49,41,92,76,94,13374785022
41,61,82,78,潘瑶蕊,100041,1,66,48,42,73,73,82,13428127300
42,61,91,74,毛革军,100042,1,84,81,43,78,73,91,13725732189
43,56,83,76,段明展,100043,1,50,91,44,65,69,71,13936431182
44,83,94,92,钟进黻,100044,1,80,52,45,80,80,65,13240437817
45,90,95,95,苏式美,100045,0,90,84,46,68,78,89,13575008659
46,83,94,94,黄式在,100046,1,80,86,47,95,76,67,13140246209
47,82,79,79,段北了,100047,0,79,98,48,86,90,70,13852614596
48,85,87,89,颜可依,100048,1,57,52,49,89,67,70,13972723295
49,58,75,95,姜明艺,100049,0,89,97,50,76,87,67,13827228664
50,67,80,85,汪好一,100050,1,77,46,51,92,92,95,13198205796
51,99,76,99,袁公在,100051,1,50,73,52,90,68,87,13218449787
52,97,88,97,王灵社,100052,0,66,65,53,76,63,75,13874716595
53,86,88,80,韩心各,100053,1,95,60,54,84,88,90,13961162682
54,72,95,90,颜方可,100054,1,74,96,55,74,94,75,13299362086
55,97,78,77,铁珍心,100055,0,59,95,56,67,92,80,13543281805
56,88,87,90,齐一明,100056,0,75,56,57,95,68,66,13199567391
57,75,88,73,叶员机,100057,0,69,48,58,97,89,91,13278418180
58,90,77,72,罗实在,100058,1,49,81,59,84,68,94,13977372866
59,71,84,73,牛电同,100059,1,79,58,60,90,63,92,13544108272
60,71,85,93,梁重长,100060,0,86,89,61,81,72,85,13646473740
61,74,88,95,洪月大,100061,0,72,91,62,76,85,91,13942744296
62,66,75,83,孙大建,100062,0,79,72,63,86,88,72,13149073558
63,61,85,70,唐生能,100063,1,76,90,64,66,86,80,13947601336
64,89,78,89,潘重电,100064,1,82,73,65,72,83,87,13716561736
65,94,88,76,彭气立,100065,1,46,97,1,84,87,75,13452037289
66,87,84,100,蓝关同,100066,1,78,57,2,65,67,81,13186966645
67,80,90,93,段道小,100067,1,52,80,3,96,90,69,13899854769
68,77,86,86,齐进生,100068,0,47,74,4,96,80,88,13279094115
69,85,94,95,郑乐茜,100069,0,76,86,5,94,70,74,13822506943
70,97,85,87,易了乐,100070,0,46,69,6,83,86,80,13078685323
71,85,95,81,王志琳,100071,0,71,66,7,73,76,84,13244192256
72,95,90,94,韦志和,100072,0,87,76,8,74,79,90,14017324845
73,81,88,80,贺动法,100073,0,50,73,9,78,98,67,13027327282
74,94,81,74,谢来学,100074,0,45,63,10,87,79,70,13375007521
75,80,94,84,赫象果,100075,1,97,47,11,74,91,93,13342026056
76,63,91,73,尹果灵,100076,0,70,93,12,77,66,86,13393639867
77,90,93,94,徐晗希,100077,1,69,65,13,78,82,85,14012799087
78,69,93,96,萧动式,100078,1,81,51,14,81,63,92,14086371462
79,81,77,89,万所那,100079,0,58,81,15,91,90,92,13060082536
80,67,89,88,吕动进,100080,0,93,92,16,71,75,65,13038436959
81,77,89,74,龙希道,100081,1,48,61,17,66,90,78,13610133491
82,90,86,91,薛蕊经,100082,1,45,52,18,100,66,73,13179046652
83,77,80,93,袁比正,100083,1,99,61,19,100,81,88,13344922814
84,59,85,83,吴晴发,100084,1,57,52,20,79,81,80,13174135668
85,59,78,99,张表悦,100085,0,85,87,21,82,98,85,13161583905
86,90,94,90,赫各电,100086,1,45,58,22,87,69,90,13474642537
87,71,85,78,申年好,100087,0,91,82,23,88,59,65,13257872344
88,95,82,89,魏间用,100088,0,52,91,24,87,93,91,13133522858
89,92,80,90,白形各,100089,1,81,64,25,93,76,75,14036273761
90,81,88,81,文通好,100090,1,73,57,26,81,66,65,13716796857
91,82,82,79,夏涵雪,100091,1,70,53,27,96,67,84,13398544678
92,94,81,91,俞学动,100092,1,77,68,28,97,76,86,13744753033
93,73,91,82,侯蕊社,100093,1,90,80,29,71,90,93,13411203950
94,75,85,100,温点展,100094,1,84,84,30,68,77,66,13316771821
95,76,86,74,蓝关正,100095,1,50,53,31,86,79,72,13231238960
96,98,95,89,章重政,100096,1,49,56,32,69,69,83,14012881433
97,82,86,79,汪公发,100097,1,52,68,33,85,61,89,13023111742
98,90,81,75,李方北,100098,1,91,64,34,87,73,74,13670843344
99,57,84,91,刘形合,100099,0,77,60,35,80,94,71,13933169337
100,69,87,84,程悦理,100100,0,50,45,36,93,91,72,13737156027
101,62,91,96,邱希长,100101,0,65,56,37,75,86,90,13978031868
102,66,78,83,叶革通,100102,0,50,46,38,97,86,92,13152613889
103,69,85,81,崔建了,100103,0,91,76,39,96,93,84,13336997456
104,55,90,81,赫社重,100104,0,57,96,40,99,96,68,13579156779
105,73,81,93,施丽所,100105,1,80,50,41,71,77,71,14040453769
106,66,79,95,傅因新,100106,1,60,97,42,98,67,71,13433571085
107,66,93,85,袁正上,100107,0,64,52,43,76,75,71,13699112387
108,72,78,74,钱有来,100108,1,57,52,44,83,65,91,13592767931
109,64,93,81,任平样,100109,0,87,66,45,93,71,88,13926818268
110,96,77,85,程进不,100110,1,62,52,46,100,66,86,13325669396
111,99,91,92,蓝本气,100111,1,57,67,47,81,64,66,13287615606
112,62,87,82,李运生,100112,0,100,48,48,71,93,90,13014693762
113,66,87,72,董起地,100113,1,72,83,49,86,62,82,14077384881
114,96,81,92,姜象原,100114,0,85,47,50,70,62,80,13753592437
115,96,94,75,黄并动,100115,1,63,92,51,65,84,65,13195429332
116,58,95,74,杨小瑶,100116,1,86,92,52,99,87,66,13815641193
117,82,94,72,吕晗表,100117,1,50,82,53,86,76,71,13949296998
118,93,93,83,徐来然,100118,0,99,88,54,97,82,67,13610821289
119,69,85,99,谭是莹,100119,0,54,49,55,68,66,80,13653942683
120,67,93,85,谭文电,100120,1,64,87,56,77,85,74,13229838586
121,55,92,84,易得有,100121,1,76,46,57,96,88,94,13035319807
122,65,77,77,安心志,100122,0,55,61,58,71,63,67,13532778028
123,63,76,84,汪和来,100123,1,49,83,59,78,89,95,13913159423
